1781607391.650682:          hermes.cli:     DEBUG | Running hermes with the following command line arguments: Namespace(subcommand='init', path=WindowsPath('.'), config=WindowsPath('hermes.toml'), options=[], template_branch='', command=<hermes.commands.init.base.HermesInitCommand object at 0x0000014B02762660>)
1781607391.650982:          hermes.cli:     DEBUG | Loading settings...
1781607391.651090:          hermes.cli:     DEBUG | Update settings from command line...
1781607391.651146:          hermes.cli:      INFO | Run subcommand init
1781607391.651593:         hermes.init:      INFO | Preparing HERMES initialization

1781607391.788141:         hermes.init:   WARNING | The current directory has no `.git` subdirectory. Please execute `hermes init` in the root directory of your git project.
1781607566.442508:          hermes.cli:     DEBUG | Running hermes with the following command line arguments: Namespace(subcommand='init', path=WindowsPath('.'), config=WindowsPath('hermes.toml'), options=[], template_branch='', command=<hermes.commands.init.base.HermesInitCommand object at 0x0000022409E06660>)
1781607566.442755:          hermes.cli:     DEBUG | Loading settings...
1781607566.442810:          hermes.cli:     DEBUG | Update settings from command line...
1781607566.442845:          hermes.cli:      INFO | Run subcommand init
1781607566.443242:         hermes.init:      INFO | Preparing HERMES initialization

1781607566.542576:         hermes.init:   WARNING | The current directory has no `.git` subdirectory. Please execute `hermes init` in the root directory of your git project.
1781607581.778944:         hermes.init:      INFO | -- Step 1 of 2: Create hermes.toml file --
1781607581.783405:         hermes.init:      INFO | `hermes.toml` was created.
1781607581.784014:         hermes.init:      INFO | -- Step 2 of 2: Create CITATION.cff file --
1781607581.784468:         hermes.init:      INFO | Your project does not contain a `CITATION.cff` file (yet). It would be very helpful for saving important metadata which is necessary for publishing.
1781607603.515150:         hermes.init:      INFO | You better do it later or HERMES won't work properly.
1781607603.516025:         hermes.init:      INFO | You can use this website (https://citation-file-format.github.io/cff-initializer-javascript/#/) to create the file. Then move it into the project folder.
1781607603.516706:         hermes.init:      INFO | Cleaning unused files...
1781607603.518453:         hermes.init:     ERROR | An error occurred during execution of HERMES init: [WinError 32] The process cannot access the file because it is being used by another process: '.hermes\\audit.log'
1781607603.529677:         hermes.init:      INFO | Cleaning unused files...
1781607603.531142:          hermes.cli:     ERROR | An error occurred during execution of init (Find details in './hermes.log')
1781607603.531278:          hermes.cli:     DEBUG | Original exception was: [WinError 32] The process cannot access the file because it is being used by another process: '.hermes\\audit.log'
